"","(Intercept)","living_area","year_sold","mod$coefficients[4:n]","neighborhood","neighborhood_num"
"513",141374.972516129,71.4716580373283,13766.2930038246,16164.4624534935,"neighborhood3640","3640"
"514",141374.972516129,71.4716580373283,13766.2930038246,26481.4971102357,"neighborhood3650","3650"
"515",141374.972516129,71.4716580373283,13766.2930038246,-11818.4225276435,"neighborhood3660","3660"
"516",141374.972516129,71.4716580373283,13766.2930038246,-5505.09283212423,"neighborhood3700","3700"
"517",141374.972516129,71.4716580373283,13766.2930038246,36171.7225610839,"neighborhood3705","3705"
"518",141374.972516129,71.4716580373283,13766.2930038246,-13190.7630355449,"neighborhood3710","3710"
"519",141374.972516129,71.4716580373283,13766.2930038246,88295.944731639,"neighborhood3721","3721"
"520",141374.972516129,71.4716580373283,13766.2930038246,12237.9736157098,"neighborhood3722","3722"
"521",141374.972516129,71.4716580373283,13766.2930038246,3783.94654496711,"neighborhood3730","3730"
"522",141374.972516129,71.4716580373283,13766.2930038246,-83331.2594127806,"neighborhood3740","3740"
"523",141374.972516129,71.4716580373283,13766.2930038246,-46411.1579316339,"neighborhood3750","3750"
"524",141374.972516129,71.4716580373283,13766.2930038246,-41501.3129889756,"neighborhood3757","3757"
"525",141374.972516129,71.4716580373283,13766.2930038246,-13914.8580629487,"neighborhood3758","3758"
"526",141374.972516129,71.4716580373283,13766.2930038246,-38147.3430558442,"neighborhood3760","3760"
"527",141374.972516129,71.4716580373283,13766.2930038246,60453.6685072868,"neighborhood3775","3775"
"528",141374.972516129,71.4716580373283,13766.2930038246,41969.8967118528,"neighborhood3776","3776"
"529",141374.972516129,71.4716580373283,13766.2930038246,22948.0855512714,"neighborhood3777","3777"
"530",141374.972516129,71.4716580373283,13766.2930038246,3757.95136860551,"neighborhood3785","3785"
"531",141374.972516129,71.4716580373283,13766.2930038246,-47651.4373290825,"neighborhood3790","3790"
"532",141374.972516129,71.4716580373283,13766.2930038246,-18837.5051075966,"neighborhood3800","3800"
"533",141374.972516129,71.4716580373283,13766.2930038246,44308.3446771008,"neighborhood3811","3811"
"534",141374.972516129,71.4716580373283,13766.2930038246,-896.754591659647,"neighborhood3820","3820"
"535",141374.972516129,71.4716580373283,13766.2930038246,-71397.0346406016,"neighborhood3835","3835"
"536",141374.972516129,71.4716580373283,13766.2930038246,-31888.5771338561,"neighborhood3840","3840"
